                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7506,                 4.3741,                 2.3863,                0.17998,                0.03182,                0.01558,                0.00689,                 2.4894,                 4.8307,                 2.2091,               2.78e-05,               2.78e-05,               2.78e-05
                      2,                 2.5963,                 4.0456,                 2.2714,                0.34175,                0.04894,                0.06288,                0.03538,                 2.2736,                  4.548,                  1.954,             5.9142e-05,             5.9142e-05,             5.9142e-05
                      3,                 1.9617,                 3.2218,                 1.7927,                0.27253,                0.09621,                0.14167,                 0.0939,                 1.9348,                 8.9466,                 1.7128,             8.8282e-05,             8.8282e-05,             8.8282e-05
                      4,                 1.7789,                 2.8223,                 1.6462,                0.66337,                0.20087,                0.20053,                0.12746,                  1.706,                 4.8477,                 1.5537,             0.00011522,             0.00011522,             0.00011522
                      5,                 1.6629,                 2.6047,                 1.5625,                0.61065,                0.21219,                0.20506,                 0.1121,                 1.7031,                 4.2381,                 1.6088,             0.00013996,             0.00013996,             0.00013996
                      6,                 1.4794,                 2.3577,                 1.4765,                 0.4766,                0.19394,                0.18957,                0.10693,                 1.6288,                 3.2459,                 1.5502,             0.00016249,             0.00016249,             0.00016249
                      7,                 1.3879,                 2.1556,                 1.4125,                0.35368,                0.37795,                0.27687,                0.15836,                 1.6602,                 3.3762,                 1.5088,             0.00018282,             0.00018282,             0.00018282
                      8,                 1.3365,                 2.0597,                 1.3782,                0.34257,                 0.3276,                  0.261,                0.15389,                 1.6981,                 4.0138,                   1.56,             0.00020096,             0.00020096,             0.00020096
                      9,                 1.2108,                 1.9446,                 1.3159,                0.70906,                0.21175,                 0.2759,                0.16741,                 1.5467,                 3.8567,                 1.5191,             0.00021688,             0.00021688,             0.00021688
                     10,                 1.2011,                 1.8892,                 1.3135,                0.25817,                0.38276,                0.30879,                0.18115,                 1.4966,                  2.818,                 1.4875,             0.00023061,             0.00023061,             0.00023061
                     11,                 1.1754,                 1.8236,                 1.2837,                0.29502,                0.41212,                0.34864,                0.21107,                 1.4227,                 2.3919,                 1.4666,             0.00024214,             0.00024214,             0.00024214
                     12,                 1.1578,                 1.7642,                 1.3075,                0.58406,                 0.4297,                0.45089,                0.29099,                 1.2627,                 2.0605,                 1.3923,             0.00025146,             0.00025146,             0.00025146
                     13,                  1.114,                 1.7325,                 1.2438,                 0.4373,                0.40893,                0.38162,                0.23845,                 1.3531,                 2.3698,                 1.4239,             0.00025858,             0.00025858,             0.00025858
